"propertyLocation_id","props.address","props.latitude","props.longitude","props.zipcode","props.zpid","props.city","props.county","props.state","props.country"
145,"1053 Heather Ln",36.06391,-78.59493,27587,221782400,"Wake Forest","WAKE","NC","US"
146,"116 Stone Park Dr",35.969166,-78.48539,27587,248755367,"Wake Forest","WAKE","NC","US"
147,"8924 Kitchin Farms Way",35.921295,-78.527145,27587,331653616,"Wake Forest","WAKE","NC","US"
148,"1140 Duke Farm Dr",35.951492,-78.45704,27587,338501675,"Wake Forest","WAKE","NC","US"
149,"1705 Golden Honey Dr",35.951492,-78.45704,27587,2060130154,"Wake Forest","WAKE","NC","US"
150,"1437 Blantons Creek Dr",35.951492,-78.45704,27587,2065592398,"Wake Forest","WAKE","NC","US"
151,"101 Barley Pl",36.016495,-78.621864,27587,6449561,"Wake Forest","WAKE","NC","US"
152,"5424 Barham Siding Rd",35.933605,-78.40101,27587,6484417,"Wake Forest","WAKE","NC","US"
153,"929 Big Bend Ct",35.9583,-78.47394,27587,6514557,"Wake Forest","WAKE","NC","US"
154,"1113 Warmoven St",35.97523,-78.54491,27587,50118991,"Wake Forest","WAKE","NC","US"
155,"1404 Flemming House St",35.970924,-78.54863,27587,60539448,"Wake Forest","WAKE","NC","US"
156,"4212 Mountain Branch Dr",36.04725,-78.62255,27587,122283498,"Wake Forest","WAKE","NC","US"
157,"2224 Pierce Creek Cir",35.98883,-78.570076,27587,248750923,"Wake Forest","WAKE","NC","US"
158,"1200 Monterey Bay Dr",35.991776,-78.48221,27587,248751844,"Wake Forest","WAKE","NC","US"
159,"2365 Ballywater Lea Way",35.990505,-78.574974,27587,336867115,"Wake Forest","WAKE","NC","US"
160,"536 Roycroft Dr",35.990505,-78.574974,27587,2061447999,"Wake Forest","WAKE","NC","US"
161,"5601 Revine Dr",35.756237,-78.51324,27610,338501306,"Raleigh","WAKE","NC","US"
162,"120 Lincoln Ct",35.7785,-78.6218,27610,6402672,"Raleigh","WAKE","NC","US"
163,"2321 Bertie Dr",35.78651,-78.605064,27610,6418713,"Raleigh","WAKE","NC","US"
164,"3720 Mechanicsville Run Ln",35.728245,-78.530266,27610,50117353,"Raleigh","WAKE","NC","US"
165,"3224 Cotton Grove Run",35.756756,-78.58698,27610,53459966,"Raleigh","WAKE","NC","US"
166,"3329 Woodmeadow Pkwy",35.75541,-78.58693,27610,53460595,"Raleigh","WAKE","NC","US"
167,"6122 Ricker Rd",35.73442,-78.53632,27610,65342592,"Raleigh","WAKE","NC","US"
168,"2045 Caen St #61",35.73442,-78.53632,27610,2059385254,"Raleigh","WAKE","NC","US"
169,"625 Coleman St",35.7715,-78.62206,27610,6394342,"Raleigh","WAKE","NC","US"
170,"5704 Continental Way",35.743393,-78.541336,27610,6489614,"Raleigh","WAKE","NC","US"
171,"5400 Wine Ct",35.75703,-78.55044,27610,6502166,"Raleigh","WAKE","NC","US"
172,"3715 Culps Hill Ct",35.727947,-78.53321,27610,50117698,"Raleigh","WAKE","NC","US"
173,"2312 K Wesley Way",35.7899,-78.60691,27610,50119504,"Raleigh","WAKE","NC","US"
174,"5521 Revine Dr",35.756237,-78.51324,27610,338501305,"Raleigh","WAKE","NC","US"
175,"2466 Tonoloway Dr #319",35.756237,-78.51324,27610,2058343330,"Raleigh","WAKE","NC","US"
176,"2039 Caen St #58",35.756237,-78.51324,27610,2058847473,"Raleigh","WAKE","NC","US"
177,"5521 Revine Dr #1250",35.756237,-78.51324,27610,2060914597,"Raleigh","WAKE","NC","US"
178,"2325 Sheffield Rd",35.79165,-78.60492,27610,6377871,"Raleigh","WAKE","NC","US"
179,"512 Mountain Lake Dr",35.7838,-78.551735,27610,6536651,"Raleigh","WAKE","NC","US"
180,"2211 Violet Bluff Ct",35.75069,-78.56089,27610,60537543,"Raleigh","WAKE","NC","US"
181,"5100 Sansome Trl",35.73623,-78.55025,27610,79885982,"Raleigh","WAKE","NC","US"
182,"1408 Stone Manor Dr",35.759384,-78.5567,27610,132282801,"Raleigh","WAKE","NC","US"
183,"2444 Milburnie Rd",35.788177,-78.600266,27610,6380697,"Raleigh","WAKE","NC","US"
184,"1208 Savannah Dr",35.739964,-78.61692,27610,6381869,"Raleigh","WAKE","NC","US"
185,"3921 Joe And Ruth Lee Dr",35.75936,-78.57316,27610,79889610,"Raleigh","WAKE","NC","US"
186,"9308 Maple St",35.75936,-78.57316,27610,2060226279,"Raleigh","WAKE","NC","US"
187,"3119 Guiding Light Rd",35.74601,-78.59508,27610,80626949,"Raleigh","WAKE","NC","US"
188,"2005 Tee Dee St",35.749615,-78.60595,27610,6404824,"Raleigh","WAKE","NC","US"
189,"535 Cooper Rd",35.770573,-78.58565,27610,6424315,"Raleigh","WAKE","NC","US"
190,"3120 Olde Birch Dr",35.74193,-78.60188,27610,6496046,"Raleigh","WAKE","NC","US"
191,"162 Ivory Ln",35.700706,-78.54685,27610,336865850,"Raleigh","WAKE","NC","US"
192,"7104 Bristoe Station Ln",35.730083,-78.5322,27610,65332950,"Raleigh","WAKE","NC","US"
193,"3521 Eastern Branch Rd",35.751823,-78.588524,27610,133216016,"Raleigh","WAKE","NC","US"
194,"2200 Sheffield Rd",35.791325,-78.60987,27610,6377401,"Raleigh","WAKE","NC","US"
195,"2416 Evers Dr",35.746006,-78.61655,27610,6395809,"Raleigh","WAKE","NC","US"
196,"2924 Tuckland Dr",35.74049,-78.57404,27610,50118319,"Raleigh","WAKE","NC","US"
197,"3648 Marshlane Way",35.731354,-78.53983,27610,65342525,"Raleigh","WAKE","NC","US"
